127.0.0.1 - - [26/Oct/2023:21:20:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:05 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:05 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 4878
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:05 +0900] "GET /JSP/images/images.jpg HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:05 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:05 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jpg HTTP/1.1" 200 5115
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:05 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:05 +0900] "GET /JSP/css/custom.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:06 +0900] "GET /JSP/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:10 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:10 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:10 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:10 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:11 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:11 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:11 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:11 +0900] "GET /JSP/images/images.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:11 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:11 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:11 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:20:12 +0900] "GET /JSP/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:19 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:19 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 200 152767
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:19 +0900] "GET /JSP/css/custom.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:19 +0900] "GET /JSP/images/images.jpg HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:19 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 4878
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:19 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jpg HTTP/1.1" 200 5115
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:19 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:22 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:24 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:25 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:27 +0900] "GET /JSP/write.jsp HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:33 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:34 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:39 +0900] "GET /JSP/join.jsp HTTP/1.1" 200 3033
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:41 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:55 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:55 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:55 +0900] "GET /JSP/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:21:55 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:23:27 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:36 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:38 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:38 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:38 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:38 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:39 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:39 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:39 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:40 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:40 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:25:40 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2337
