127.0.0.1 - - [09/Nov/2023:03:59:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Nov/2023:03:59:58 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:03:59:58 +0900] "GET /JSP/css/bootstrap.css HTTP/1.1" 200 152763
0:0:0:0:0:0:0:1 - - [09/Nov/2023:03:59:58 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%20(1).jpg HTTP/1.1" 200 5115
0:0:0:0:0:0:0:1 - - [09/Nov/2023:03:59:58 +0900] "GET /JSP/css/custom.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Nov/2023:03:59:58 +0900] "GET /JSP/images/%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 4878
0:0:0:0:0:0:0:1 - - [09/Nov/2023:03:59:58 +0900] "GET /JSP/images/images.jpg HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [09/Nov/2023:03:59:58 +0900] "GET /JSP/js/bootstrap.js HTTP/1.1" 200 72084
0:0:0:0:0:0:0:1 - - [09/Nov/2023:03:59:58 +0900] "GET /JSP/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:08 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:15 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:17 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:17 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:18 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:18 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:18 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:18 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:18 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:19 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:21 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:21 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:21 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:21 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:21 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:22 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:29 +0900] "POST /JSP/loginAction.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:30 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3268
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:33 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2572
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:33 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:33 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:33 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:33 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:33 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:34 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11548
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:34 +0900] "GET /JSP/js/bootstrapeval.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:34 +0900] "GET /JSP/css/bootstrapeval.min.css?ver=1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:34 +0900] "GET /JSP/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:34 +0900] "GET /JSP/css/customeval.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:34 +0900] "GET /JSP/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:40 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11548
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:00:54 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3268
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:12 +0900] "GET /JSP/logoutAction.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:12 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:14 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:14 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:16 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:17 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:18 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:18 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:18 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:18 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:18 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:18 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:20 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:20 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:20 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:20 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:20 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:20 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:21 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:48 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:50 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11612
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:53 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11612
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:54 +0900] "GET /JSP/index.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:01:58 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:00 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:00 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:00 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:00 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:00 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:00 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:02 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:03 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11612
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:04 +0900] "GET /JSP/index.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:06 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:07 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11612
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:09 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:12 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:13 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:15 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:15 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:15 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:15 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:15 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:02:16 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2388
